time,icon_d2_index,icon_d2_max_positive_gradient_K_per_100m,icon_d2_inversion_deltaT_K,icon_d2_inversion_depth_m,icon_d2_inversion_base_m,icon_d2_inversion_top_m,icon_d2_level_count
2026-09-18 00:00:00+02:00,4.2875000000000005,5.555555555555555,3.200000000000001,225.0,2.0,227.0,7
2026-09-18 01:00:00+02:00,4.439,6.999999999999992,3.6000000000000014,226.0,2.0,228.0,7
2026-09-18 02:00:00+02:00,4.2155000000000005,3.63636363636364,3.0000000000000018,227.0,2.0,229.0,7
2026-09-18 03:00:00+02:00,3.917,4.615384615384626,2.1999999999999993,228.0,2.0,230.0,7
2026-09-18 04:00:00+02:00,1.9032222222222397,0.6666666666666762,0.9000000000000004,229.0,2.0,231.0,7
2026-09-18 05:00:00+02:00,1.4295280373831778,0.42056074766355156,0.9000000000000004,214.0,14.0,228.0,7
2026-09-18 06:00:00+02:00,1.1831884735202483,0.3271028037383174,0.6999999999999993,214.0,13.0,227.0,7
2026-09-18 07:00:00+02:00,0.9368489096573207,0.23364485981308408,0.5,214.0,16.0,230.0,7
2026-09-18 08:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 09:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 10:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 11:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 12:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 13:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 14:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 15:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 16:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 17:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 18:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-09-18 19:00:00+02:00,0.6138095238095319,0.2857142857142898,0.10000000000000142,35.0,2.0,37.0,7
2026-09-18 20:00:00+02:00,3.2990000000000004,3.1707317073170747,1.3000000000000007,41.0,2.0,43.0,7
2026-09-18 21:00:00+02:00,3.492499999999999,3.999999999999994,1.7999999999999972,45.0,2.0,47.0,7
2026-09-18 22:00:00+02:00,3.5765000000000002,3.9215686274509802,2.0,51.0,2.0,53.0,7
2026-09-18 23:00:00+02:00,4.3565000000000005,5.357142857142857,3.1999999999999993,271.0,2.0,273.0,7
