time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa,max_inv_gradient_K_per_100m,inversion_depth_m,positive_deltaT_K,lowest_profile_height_agl_m,temperature_100m_agl,deltaT_100m_model_K,temperature_200m_agl,deltaT_200m_model_K,temperature_500m_agl,deltaT_500m_model_K,inversion_index,surface_temperature_obs,dwd_temperature_obs,surface_temperature_for_profile,surface_temperature_source,surface_temp_bias_K,inversion_index_corrected,surface_correction_used,deltaT_100m_surface_K,deltaT_200m_surface_K,deltaT_500m_surface_K,local_stratification_index,local_max_gradient_K_per_100m,local_positive_deltaT_K,local_inversion_depth_m,local_surface_measured,local_inverted_layer_count,local_strongest_layer,local_profile_top_m,local_profile_point_count
2026-08-31 00:00:00+02:00,24.4,1014.5,2.06,29,18,24.1,143.0,5.28,37,24.6,365.55,3.83,31,25.0,593.0,2.48,18,26.6,827.0,3.01,211,25.1,1068.0,5.16,203,21.4,1566.0,5.44,205,0.6837606837606843,684.0,2.5,128.0,24.166666666666668,-0.23333333333333073,24.26176140193215,-0.1382385980678471,24.862826994943944,0.46282699494394564,2.9410612535612546,,,24.4,model_2m,,2.9410612535612546,False,-0.23333333333333073,-0.1382385980678471,0.46282699494394564,2.7985087620759366,0.22466861379465286,0.8999999999999986,450.0,False,2,1000hPa-975hPa,578.0,4
2026-08-31 01:00:00+02:00,23.9,1014.5,1.75,13,31,23.8,144.0,4.66,31,24.4,366.06,3.83,22,24.9,593.0,3.15,8,26.0,827.0,3.1,244,25.2,1068.0,5.19,228,21.6,1566.0,5.17,216,0.4700854700854707,683.0,2.1999999999999993,129.0,23.822834645669293,-0.07716535433070604,23.99184004323156,0.09184004323156003,24.72814840927117,0.8281484092711722,2.4368233618233632,,,23.9,model_2m,,2.4368233618233632,False,-0.07716535433070604,0.09184004323156003,0.8281484092711722,3.178387597946495,0.27019724398811035,1.0999999999999979,449.0,False,2,1000hPa-975hPa,578.0,4
2026-08-31 02:00:00+02:00,23.3,1014.7,1.26,342,25,23.4,145.0,3.51,20,23.9,366.57,3.52,17,24.4,593.0,3.55,14,25.3,827.0,3.09,257,25.0,1067.0,5.25,242,22.0,1566.0,4.39,226,0.3846153846153855,810.0,2.0,130.0,23.3765625,0.07656249999999787,23.55796362323419,0.25796362323418975,24.227761339045177,0.9277613390451762,2.2051282051282066,,,23.3,model_2m,,2.2051282051282066,False,0.07656249999999787,0.25796362323418975,0.9277613390451762,2.977980435076949,0.22566231890598906,1.0999999999999979,576.0,False,3,1000hPa-975hPa,578.0,4
2026-08-31 03:00:00+02:00,22.4,1014.3,1.42,309,32,23.3,141.0,2.72,354,23.7,362.08,3.13,3,24.1,588.0,3.61,10,24.8,822.0,2.83,279,24.8,1062.0,4.67,251,22.1,1561.0,3.67,224,0.7258064516129049,805.0,2.400000000000002,126.0,23.111290322580647,0.7112903225806484,23.4338881852723,1.0338881852722999,23.9707507082153,1.5707507082153,2.980645161290327,,,22.4,model_2m,,2.980645161290327,False,0.7112903225806484,1.0338881852722999,1.5707507082153,4.7375000000000025,0.7258064516129049,1.7000000000000028,571.0,False,3,Boden-1000hPa,573.0,4
2026-08-31 04:00:00+02:00,21.8,1014.3,1.36,287,12,23.2,141.0,2.2,321,23.6,362.57,2.61,344,24.1,589.0,3.33,360,24.6,822.0,2.9,298,24.7,1062.0,4.01,260,22.3,1561.0,3.13,227,1.1290322580645151,1045.0,2.8999999999999986,126.0,22.906451612903226,1.106451612903225,23.333592092792344,1.5335920927923432,23.936594090889017,2.136594090889016,3.9073924731182776,,,21.8,model_2m,,3.9073924731182776,False,1.106451612903225,1.5335920927923432,2.136594090889016,5.0,1.1290322580645151,2.3000000000000007,572.0,False,3,Boden-1000hPa,574.0,4
2026-08-31 05:00:00+02:00,21.3,1014.2,1.33,283,0,23.0,139.0,2.18,286,23.6,360.57,2.1,313,24.3,587.0,2.46,337,24.4,821.0,2.7,294,24.5,1060.0,3.42,260,22.3,1559.0,2.96,227,1.3934426229508192,1043.0,3.1999999999999993,124.0,22.665573770491804,1.3655737704918032,23.205804034842263,1.9058040348422622,24.07741465353531,2.7774146535353097,4.504644808743168,,,21.3,model_2m,,4.504644808743168,False,1.3655737704918032,1.9058040348422622,2.7774146535353097,5.0,1.3934426229508192,3.0,570.0,False,3,Boden-1000hPa,572.0,4
2026-08-31 06:00:00+02:00,20.9,1014.5,1.26,288,0,23.0,142.0,2.02,279,23.8,363.57,2.09,297,24.6,590.0,2.36,313,24.4,824.0,2.62,290,24.4,1064.0,3.17,262,22.2,1562.0,2.69,229,1.6800000000000013,573.0,3.700000000000003,127.0,22.5464,1.6463999999999999,23.263573588482195,2.363573588482197,24.335017444684894,3.4350174446848953,4.887500000000001,,,20.9,model_2m,,4.887500000000001,False,1.6463999999999999,2.363573588482197,3.4350174446848953,5.0,1.6800000000000013,3.700000000000003,573.0,False,3,Boden-1000hPa,575.0,4
2026-08-31 07:00:00+02:00,20.4,1014.6,1.08,304,0,22.8,143.0,1.52,293,23.5,364.57,1.84,305,24.3,591.0,2.21,313,24.3,824.0,2.3,299,24.3,1064.0,2.57,265,22.0,1562.0,2.61,219,1.9047619047619064,574.0,3.900000000000002,128.0,22.266666666666666,1.8666666666666671,23.027467617457237,2.6274676174572384,24.03148434394736,3.63148434394736,4.962500000000001,,,20.4,model_2m,,4.962500000000001,False,1.8666666666666671,2.6274676174572384,3.63148434394736,5.0,1.9047619047619064,3.900000000000002,574.0,False,3,Boden-1000hPa,576.0,4
2026-08-31 08:00:00+02:00,20.0,1014.8,1.08,304,0,22.6,144.0,1.04,343,22.9,365.08,1.39,340,23.2,591.0,1.74,338,23.8,824.0,2.61,313,23.9,1063.0,2.26,282,21.8,1561.0,2.55,207,2.04724409448819,1046.0,3.8999999999999986,129.0,22.006299212598428,2.006299212598428,22.696345214402026,2.696345214402026,23.099079320113315,3.099079320113315,4.9624999999999995,,,20.0,model_2m,,4.9624999999999995,False,2.006299212598428,2.696345214402026,3.099079320113315,5.0,2.04724409448819,3.1999999999999993,574.0,False,3,Boden-1000hPa,576.0,4
2026-08-31 09:00:00+02:00,21.6,1015.4,0.98,294,14,23.0,150.0,1.84,29,22.5,370.59,2.29,35,22.1,596.0,2.75,39,23.2,828.0,2.2,336,23.5,1067.0,1.94,303,21.6,1564.0,2.64,197,1.0526315789473673,604.0,2.799999999999997,135.0,22.63157894736842,1.0315789473684198,22.852667845323904,1.2526678453239022,22.2437380772814,0.6437380772813981,3.7298245614035057,,,21.6,model_2m,,3.7298245614035057,False,1.0315789473684198,1.2526678453239022,0.6437380772813981,3.918333333333332,1.0526315789473673,1.3999999999999986,133.0,False,1,Boden-1000hPa,581.0,4
