time,temperature_obs,temperature_source,station_id,station_name,station_altitude_m,latitude,longitude,humidity_percent,pressure_hpa,pressure_sea_level_hpa,wind_speed_ms,wind_direction_deg,precip_mm
2026-09-07 00:00:00+02:00,26.6,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,51.0,1019.4,1020.9,1.5,2.0,0.0
2026-09-07 01:00:00+02:00,25.8,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,53.0,1019.3,1020.8,1.1,354.0,0.0
2026-09-07 02:00:00+02:00,25.2,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,53.0,1019.1,1020.6,1.6,259.0,0.0
2026-09-07 03:00:00+02:00,25.0,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,45.0,1019.1,1020.6,1.9,264.0,0.0
2026-09-07 04:00:00+02:00,24.1,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,50.0,1019.0,1020.5,1.2,261.0,0.0
2026-09-07 05:00:00+02:00,23.7,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,48.0,1018.7,1020.2,1.0,268.0,0.0
2026-09-07 06:00:00+02:00,23.3,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,46.0,1018.8,1020.3,1.5,237.0,0.0
2026-09-07 07:00:00+02:00,23.3,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,45.0,1018.9,1020.4,2.3,268.0,0.0
2026-09-07 08:00:00+02:00,23.5,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,43.0,1019.2,1020.7,1.5,265.0,0.0
2026-09-07 09:00:00+02:00,24.4,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,39.0,1019.6,1021.1,2.1,264.0,0.0
2026-09-07 10:00:00+02:00,26.5,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,39.0,1019.7,1021.2,1.3,258.0,0.0
2026-09-07 11:00:00+02:00,30.3,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,32.0,1020.0,1021.5,0.7,20.0,0.0
2026-09-07 12:00:00+02:00,32.0,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,29.0,1020.4,1021.9,1.5,35.0,0.0
2026-09-07 13:00:00+02:00,32.6,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,36.0,1020.1,1021.5,1.5,72.0,0.0
2026-09-07 14:00:00+02:00,32.5,AEMET,8416,VALENCIA DT,13.0,39.480556,-0.366389,40.0,1019.9,1021.3,1.5,34.0,0.0
