time,radiosonde_index,radiosonde_max_positive_gradient_K_per_100m,radiosonde_inversion_deltaT_K,radiosonde_inversion_depth_m,radiosonde_inversion_base_m,radiosonde_inversion_top_m,radiosonde_profile_points,radiosonde_binned_levels
2026-08-23 02:00:00+02:00,0.8083333333333332,0.3999999999999999,0.0999999999999999,25.0,1450.0,1475.0,293,101
2026-08-23 08:00:00+02:00,2.847916666666666,1.3999999999999997,0.55,50.0,1150.0,1200.0,339,101
2026-08-23 14:00:00+02:00,2.4437499999999988,1.1999999999999993,0.4499999999999997,50.0,750.0,800.0,327,101
2026-08-23 20:00:00+02:00,2.8479166666666647,1.3999999999999986,0.4500000000000002,75.0,700.0,775.0,308,101
