time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa
2026-09-02 00:00:00+02:00,24.6,1017.5,0.81,330,22,24.4,169.0,0.3,360,23.2,391.06,0.83,169,22.1,618.0,1.96,171,20.9,850.0,2.09,164,21.2,1088.0,2.35,171,22.3,1585.0,6.79,207
2026-09-02 01:00:00+02:00,24.1,1017.4,0.78,310,39,24.4,168.0,0.64,309,23.2,390.06,0.74,195,22.1,617.0,1.83,177,21.2,849.0,2.36,175,21.5,1087.0,3.26,184,22.3,1584.0,6.78,217
2026-09-02 02:00:00+02:00,23.8,1017.5,0.78,310,41,24.3,169.0,0.78,310,23.2,391.06,0.52,195,22.2,618.0,1.54,168,21.8,850.0,2.41,193,21.1,1088.0,3.27,197,22.0,1585.0,6.84,219
2026-09-02 03:00:00+02:00,23.8,1017.1,0.89,297,55,24.3,166.0,1.5,307,23.4,388.06,0.7,249,22.5,615.0,1.4,184,22.1,847.0,2.75,207,20.5,1086.0,3.48,206,22.1,1583.0,7.28,220
2026-09-02 04:00:00+02:00,23.6,1016.9,0.95,288,48,24.2,164.0,2.11,301,23.4,386.06,1.28,273,22.7,613.0,1.23,218,22.1,846.0,2.53,221,22.1,1084.0,3.95,223,22.4,1582.0,7.79,224
2026-09-02 05:00:00+02:00,23.1,1016.7,1.02,281,15,23.9,162.0,2.51,299,23.2,383.57,1.87,279,22.6,610.0,1.64,247,22.2,843.0,2.55,241,22.9,1082.0,4.79,231,22.4,1580.0,7.39,232
2026-09-02 06:00:00+02:00,22.9,1016.4,0.9,270,18,23.9,159.0,2.28,299,23.4,381.06,1.96,283,22.8,608.0,1.84,263,22.6,840.0,2.52,257,23.4,1080.0,4.97,237,22.6,1578.0,6.47,239
2026-09-02 07:00:00+02:00,22.6,1016.4,0.71,262,19,23.7,160.0,1.68,287,23.3,381.57,1.68,279,22.9,608.0,1.72,270,23.1,841.0,2.35,270,23.8,1081.0,4.56,251,23.1,1580.0,5.74,248
2026-09-02 08:00:00+02:00,22.4,1017.0,0.61,279,3,23.4,164.0,1.0,276,23.1,385.57,1.27,280,22.8,612.0,1.54,282,23.4,845.0,2.2,285,23.8,1085.0,3.87,263,23.2,1584.0,5.36,251
2026-09-02 09:00:00+02:00,23.3,1017.8,0.5,323,10,23.2,171.0,0.14,45,22.8,392.57,0.53,314,22.4,619.0,1.08,307,23.2,851.0,2.05,299,23.7,1091.0,3.38,274,23.4,1590.0,4.82,256
2026-09-02 10:00:00+02:00,25.4,1018.2,0.78,50,2,23.3,175.0,1.12,63,22.7,396.08,0.81,33,22.2,622.0,0.87,353,23.0,855.0,1.92,306,23.6,1094.0,3.06,279,23.4,1594.0,4.6,262
2026-09-02 11:00:00+02:00,27.2,1018.5,1.9,87,4,24.5,178.0,2.4,88,23.2,399.57,1.8,75,21.8,626.0,1.38,51,22.6,859.0,1.59,321,23.4,1098.0,2.74,282,23.4,1597.0,4.45,265
2026-09-02 12:00:00+02:00,28.2,1018.8,2.62,97,34,25.0,182.0,3.32,97,23.5,403.57,2.41,85,22.1,630.0,1.73,60,22.8,863.0,1.5,333,23.7,1102.0,2.35,290,23.5,1602.0,4.06,266
2026-09-02 13:00:00+02:00,28.9,1019.0,3.2,104,40,25.3,184.0,4.34,105,23.8,406.06,3.21,98,22.4,633.0,2.16,84,22.9,866.0,1.03,13,23.8,1105.0,1.87,300,23.4,1605.0,3.67,270
2026-09-02 14:00:00+02:00,29.3,1018.4,3.51,110,48,25.6,178.0,4.85,112,24.2,400.55,3.83,110,22.8,628.0,2.82,108,23.1,861.0,0.81,34,24.4,1101.0,1.62,291,23.8,1601.0,3.29,270
2026-09-02 15:00:00+02:00,29.5,1018.4,3.83,110,57,25.8,178.0,5.48,111,24.4,401.04,4.18,107,23.0,629.0,2.93,98,23.5,862.0,1.4,61,24.8,1102.0,1.07,283,23.7,1603.0,2.66,270
2026-09-02 16:00:00+02:00,29.5,1017.9,3.67,107,38,26.0,174.0,5.25,108,24.8,397.04,4.13,100,23.5,625.0,3.12,88,24.0,858.0,1.73,75,25.3,1099.0,0.89,247,23.8,1600.0,2.61,256
2026-09-02 17:00:00+02:00,29.3,1017.4,3.67,101,27,26.1,170.0,5.41,102,25.1,393.04,4.76,95,24.1,621.0,4.21,86,24.5,855.0,2.5,80,25.6,1095.0,0.71,189,23.9,1597.0,2.31,261
