time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_missing_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_100m_C,kit_temperature_130m_C,kit_temperature_160m_C,kit_temperature_200m_C
2026-09-17 00:00:00+02:00,2.5075464344627765,3.994938753302169,0.7030039314628524,2.0,60.0,58.0,0.4943563997128635,p809194,8,,15.904021256252314,16.223616356516487,16.279787324127163,16.398377655965177,16.3438215844101,16.36700754616891,16.55246911616009,16.325719179286953
2026-09-17 00:10:00+02:00,3.192751016725069,4.909044717470246,0.9736996946054556,2.0,60.0,58.0,0.9736996946054556,p797999,8,,15.254986811134367,15.647710388531989,16.006581304000818,16.228686505739823,16.0129452802532,15.882402853764706,15.862723025009148,15.558659534625995
2026-09-17 01:00:00+02:00,4.6072551508505,5.236422723372147,2.440882726275749,2.0,100.0,98.0,2.440882726275749,p821424,8,,13.539979017017401,13.958892834887173,14.945512504394477,15.427068448730454,15.98086174329315,15.873864146198475,15.863148183118186,15.462614975536342
2026-09-17 01:10:00+02:00,4.416765383651966,4.457626606648759,2.4805721114886925,2.0,100.0,98.0,2.4805721114886925,p797982,8,,13.35665039013295,13.688685461201958,14.58021078253171,15.398305767712944,15.837222501621644,15.755409829417392,15.690209344866428,15.30325189278414
2026-09-17 02:00:00+02:00,4.98,6.138333696931095,3.265046370101903,2.0,100.0,98.0,3.265046370101903,p821407,8,,12.727794595878628,13.086894574319189,14.314561313705408,14.906784584368397,15.99284096598053,15.911690079461096,15.791179345639536,15.427104331768023
2026-09-17 02:10:00+02:00,4.9573482683207,5.107266064373217,2.936022402481049,2.0,160.0,158.0,2.936022402481049,p797964,8,,12.735879288383511,13.144460573533369,14.060692963958711,14.72786095975748,15.243113394180511,15.638274567440344,15.67190169086456,15.234073655372637
2026-09-17 03:00:00+02:00,5.0,5.970069396470317,3.453694262382456,2.0,160.0,158.0,3.453694262382456,p821390,8,,12.081970158882175,12.4932406088651,13.687254488159164,14.22533522654468,14.982074824645311,15.441764045111112,15.53566442126463,15.165638703514096
2026-09-17 04:00:00+02:00,5.0,7.897536535437122,3.784005204053198,2.0,160.0,158.0,3.784005204053198,p821373,8,,11.302332240898162,11.934135163733131,13.1800938423309,13.892389788782785,14.545276035911744,14.89164938665013,15.08633744495136,15.082508011936197
2026-09-17 05:00:00+02:00,5.0,9.405368664754148,4.303836451352387,2.0,160.0,158.0,4.303836451352387,p821355,8,,10.645196922645603,11.120236187947567,13.001309920898397,13.597337178939863,14.20681940182566,14.498051114891402,14.94903337399799,14.84652435889436
