time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_missing_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_130m_C,kit_temperature_160m_C,kit_temperature_200m_C
2026-09-07 00:00:00+02:00,4.470248591270646,16.923177356989825,2.2053728869059697,2.0,130.0,128.0,2.2053728869059697,p1144014,7,100,18.8388543971596,20.192708585718783,20.63466845252987,20.960799250078846,21.044227284065567,21.01578482838438,20.919596062358885
2026-09-07 00:40:00+02:00,4.417156715357504,22.23931650557436,2.8525975114531903,2.0,60.0,58.0,2.755735073036256,p1160142,7,100,17.868616277290364,19.64776159773632,20.4801983211517,20.62435135032662,20.61231154761873,20.709173986035672,20.67521580550387
2026-09-07 00:50:00+02:00,4.277267610251519,14.602141704034022,1.915901415377277,2.0,160.0,158.0,1.915901415377277,p1167187,7,100,18.809772117797888,19.97794345412061,20.401219184631334,20.55293513033551,20.645695240718577,20.725673533175165,20.70179519229128
2026-09-07 01:00:00+02:00,3.966974019340481,7.769679135210383,1.4504610290107216,2.0,160.0,158.0,1.4504610290107216,p1173395,7,100,19.3515710901299,19.973145420946732,20.275441739761316,20.478471498545353,20.656633277770908,20.802032119140623,20.77983419482041
2026-09-07 01:40:00+02:00,5.0,5.364673648388507,3.4234959860725347,2.0,200.0,198.0,3.4234959860725347,p1160124,7,100,18.40850992326739,18.83768381513847,19.49630470483398,20.25894797438304,20.55842834308429,21.202127244262684,21.832005909339923
2026-09-07 01:50:00+02:00,5.0,12.24032989055246,4.214127414081567,2.0,200.0,198.0,4.214127414081567,p1167170,7,100,17.290941481967952,18.27016787321215,19.47031263945004,20.00268858937325,20.37544347491501,20.91655357293699,21.50506889604952
2026-09-07 02:00:00+02:00,5.0,8.808587575715379,4.446825267402641,2.0,200.0,198.0,4.446825267402641,p1173378,7,100,17.02925784507755,17.651372867944062,19.413090383087138,20.01221501023865,20.26433650195982,21.021821341346723,21.47608311248019
2026-09-07 02:50:00+02:00,5.0,10.78110912275263,4.802556464099876,2.0,200.0,198.0,4.802556464099876,p1167152,7,100,16.853088803623216,17.715577533443426,18.698802949691743,19.11587029058336,20.760477256623755,20.98065409261068,21.65564526772309
2026-09-07 03:00:00+02:00,5.0,15.195021786466434,5.112088289722422,2.0,200.0,198.0,5.112088289722422,p1173361,7,100,16.582591332557694,17.79819307547501,18.631691374603243,19.0323858964437,20.613382176380043,20.81713024944556,21.694679622280116
2026-09-07 04:00:00+02:00,5.0,10.608632958939772,4.453776961894976,2.0,200.0,198.0,4.453776961894976,p1173344,7,100,15.66633169540408,15.820377483865077,17.94210407565303,18.86082991603343,19.795306344485716,19.93170173100788,20.120108657299056
2026-09-07 05:00:00+02:00,5.0,5.88664950965871,5.19946028558347,2.0,200.0,198.0,5.19946028558347,p1173326,7,100,16.289552381053937,16.624813616592395,17.802143518524137,18.380644507344574,20.00338424644298,20.917568696350077,21.489012666637407
