time,level_type,pressure_hPa,height_msl_m,height_agl_m,temperature_C,usable_for_inversion
2026-08-30 11:00:00+02:00,pressure,925.0,798.53,696.53,15.8,True
2026-08-30 11:00:00+02:00,pressure,900.0,1030.19,928.19,13.9,True
2026-08-30 11:00:00+02:00,pressure,850.0,1510.0,1408.0,9.9,True
2026-08-30 12:00:00+02:00,surface,,104.0,2.0,24.3,True
2026-08-30 12:00:00+02:00,pressure,1000.0,125.0,23.0,23.6,True
2026-08-30 12:00:00+02:00,pressure,975.0,344.0,242.0,21.0,True
2026-08-30 12:00:00+02:00,pressure,950.0,568.0,466.0,18.8,True
2026-08-30 12:00:00+02:00,pressure,925.0,795.0,693.0,16.6,True
2026-08-30 12:00:00+02:00,pressure,900.0,1027.15,925.1500000000001,14.5,True
2026-08-30 12:00:00+02:00,pressure,850.0,1508.0,1406.0,10.1,True
2026-08-30 13:00:00+02:00,surface,,104.0,2.0,25.2,True
2026-08-30 13:00:00+02:00,pressure,1000.0,122.0,20.0,24.3,True
2026-08-30 13:00:00+02:00,pressure,975.0,342.0,240.0,21.6,True
2026-08-30 13:00:00+02:00,pressure,950.0,567.0,465.0,19.4,True
2026-08-30 13:00:00+02:00,pressure,925.0,794.23,692.23,17.2,True
2026-08-30 13:00:00+02:00,pressure,900.0,1026.63,924.6300000000001,15.0,True
2026-08-30 13:00:00+02:00,pressure,850.0,1508.0,1406.0,10.5,True
2026-08-30 14:00:00+02:00,surface,,104.0,2.0,26.0,True
2026-08-30 14:00:00+02:00,pressure,1000.0,120.0,18.0,25.0,True
2026-08-30 14:00:00+02:00,pressure,975.0,341.0,239.0,22.3,True
2026-08-30 14:00:00+02:00,pressure,950.0,566.0,464.0,20.0,True
2026-08-30 14:00:00+02:00,pressure,925.0,793.93,691.93,17.7,True
2026-08-30 14:00:00+02:00,pressure,900.0,1027.06,925.06,15.4,True
2026-08-30 14:00:00+02:00,pressure,850.0,1510.0,1408.0,10.7,True
2026-08-30 15:00:00+02:00,surface,,104.0,2.0,26.0,True
2026-08-30 15:00:00+02:00,pressure,1000.0,120.0,18.0,25.2,True
2026-08-30 15:00:00+02:00,pressure,975.0,341.0,239.0,22.5,True
2026-08-30 15:00:00+02:00,pressure,950.0,566.0,464.0,20.3,True
2026-08-30 15:00:00+02:00,pressure,925.0,794.16,692.16,18.0,True
2026-08-30 15:00:00+02:00,pressure,900.0,1027.53,925.53,15.7,True
2026-08-30 15:00:00+02:00,pressure,850.0,1511.0,1409.0,11.2,True
2026-08-30 16:00:00+02:00,surface,,104.0,2.0,26.1,True
