time,level_type,pressure_hPa,height_msl_m,height_agl_m,temperature_C,usable_for_inversion
2026-08-24 00:00:00+02:00,surface,,104.0,2.0,14.1,True
2026-08-24 00:00:00+02:00,pressure,1000.0,192.0,90.0,16.0,True
2026-08-24 00:00:00+02:00,pressure,975.0,407.0,305.0,16.2,True
2026-08-24 00:00:00+02:00,pressure,950.0,627.0,525.0,14.5,True
2026-08-24 00:00:00+02:00,pressure,925.0,851.66,749.66,13.2,True
2026-08-24 00:00:00+02:00,pressure,900.0,1081.36,979.3599999999999,11.8,True
2026-08-24 00:00:00+02:00,pressure,850.0,1557.0,1455.0,9.1,True
2026-08-24 01:00:00+02:00,surface,,104.0,2.0,13.5,True
2026-08-24 01:00:00+02:00,pressure,1000.0,193.0,91.0,15.6,True
2026-08-24 01:00:00+02:00,pressure,975.0,407.0,305.0,15.6,True
2026-08-24 01:00:00+02:00,pressure,950.0,627.0,525.0,14.5,True
2026-08-24 01:00:00+02:00,pressure,925.0,851.66,749.66,13.1,True
2026-08-24 01:00:00+02:00,pressure,900.0,1081.36,979.3599999999999,11.6,True
2026-08-24 01:00:00+02:00,pressure,850.0,1557.0,1455.0,8.7,True
2026-08-24 02:00:00+02:00,surface,,104.0,2.0,11.7,True
2026-08-24 02:00:00+02:00,pressure,1000.0,189.0,87.0,14.9,True
2026-08-24 02:00:00+02:00,pressure,975.0,403.0,301.0,14.8,True
2026-08-24 02:00:00+02:00,pressure,950.0,623.0,521.0,14.2,True
2026-08-24 02:00:00+02:00,pressure,925.0,847.19,745.19,12.7,True
2026-08-24 02:00:00+02:00,pressure,900.0,1076.41,974.4100000000001,11.2,True
2026-08-24 02:00:00+02:00,pressure,850.0,1551.0,1449.0,8.2,True
2026-08-24 03:00:00+02:00,surface,,104.0,2.0,11.2,True
2026-08-24 03:00:00+02:00,pressure,1000.0,190.0,88.0,14.4,True
2026-08-24 03:00:00+02:00,pressure,975.0,403.0,301.0,14.4,True
2026-08-24 03:00:00+02:00,pressure,950.0,623.0,521.0,13.9,True
2026-08-24 03:00:00+02:00,pressure,925.0,846.96,744.96,12.4,True
2026-08-24 03:00:00+02:00,pressure,900.0,1075.93,973.9300000000001,10.9,True
2026-08-24 03:00:00+02:00,pressure,850.0,1550.0,1448.0,7.8,True
2026-08-24 04:00:00+02:00,surface,,104.0,2.0,10.5,True
2026-08-24 04:00:00+02:00,pressure,1000.0,185.0,83.0,13.9,True
2026-08-24 04:00:00+02:00,pressure,975.0,399.0,297.0,14.2,True
2026-08-24 04:00:00+02:00,pressure,950.0,618.0,516.0,13.7,True
2026-08-24 04:00:00+02:00,pressure,925.0,841.96,739.96,12.2,True
2026-08-24 04:00:00+02:00,pressure,900.0,1070.93,968.9300000000001,10.7,True
2026-08-24 04:00:00+02:00,pressure,850.0,1545.0,1443.0,7.7,True
2026-08-24 05:00:00+02:00,surface,,104.0,2.0,9.4,True
2026-08-24 05:00:00+02:00,pressure,1000.0,185.0,83.0,13.2,True
2026-08-24 05:00:00+02:00,pressure,975.0,398.0,296.0,13.6,True
2026-08-24 05:00:00+02:00,pressure,950.0,617.0,515.0,13.7,True
2026-08-24 05:00:00+02:00,pressure,925.0,840.73,738.73,12.2,True
2026-08-24 05:00:00+02:00,pressure,900.0,1069.46,967.46,10.8,True
2026-08-24 05:00:00+02:00,pressure,850.0,1543.0,1441.0,7.8,True
2026-08-24 06:00:00+02:00,surface,,104.0,2.0,9.1,True
2026-08-24 06:00:00+02:00,pressure,1000.0,181.0,79.0,13.1,True
2026-08-24 06:00:00+02:00,pressure,975.0,394.0,292.0,13.4,True
2026-08-24 06:00:00+02:00,pressure,950.0,613.0,511.0,13.5,True
2026-08-24 06:00:00+02:00,pressure,925.0,836.72,734.72,12.1,True
2026-08-24 06:00:00+02:00,pressure,900.0,1065.46,963.46,10.7,True
2026-08-24 06:00:00+02:00,pressure,850.0,1539.0,1437.0,7.8,True
2026-08-24 07:00:00+02:00,surface,,104.0,2.0,9.3,True
2026-08-24 07:00:00+02:00,pressure,1000.0,182.0,80.0,12.8,True
2026-08-24 07:00:00+02:00,pressure,975.0,395.0,293.0,13.3,True
2026-08-24 07:00:00+02:00,pressure,950.0,613.0,511.0,13.5,True
2026-08-24 07:00:00+02:00,pressure,925.0,836.96,734.96,12.2,True
2026-08-24 07:00:00+02:00,pressure,900.0,1065.94,963.94,10.8,True
2026-08-24 07:00:00+02:00,pressure,850.0,1540.0,1438.0,8.2,True
2026-08-24 08:00:00+02:00,surface,,104.0,2.0,11.3,True
2026-08-24 08:00:00+02:00,pressure,1000.0,182.0,80.0,13.0,True
2026-08-24 08:00:00+02:00,pressure,975.0,395.0,293.0,12.9,True
2026-08-24 08:00:00+02:00,pressure,950.0,613.0,511.0,13.3,True
2026-08-24 08:00:00+02:00,pressure,925.0,836.96,734.96,12.0,True
2026-08-24 08:00:00+02:00,pressure,900.0,1065.94,963.94,10.7,True
2026-08-24 08:00:00+02:00,pressure,850.0,1540.0,1438.0,8.2,True
2026-08-24 09:00:00+02:00,surface,,104.0,2.0,14.0,True
2026-08-24 09:00:00+02:00,pressure,1000.0,184.0,82.0,13.2,True
2026-08-24 09:00:00+02:00,pressure,975.0,397.0,295.0,13.2,True
2026-08-24 09:00:00+02:00,pressure,950.0,615.0,513.0,13.5,True
2026-08-24 09:00:00+02:00,pressure,925.0,838.96,736.96,12.2,True
2026-08-24 09:00:00+02:00,pressure,900.0,1067.94,965.94,11.0,True
2026-08-24 09:00:00+02:00,pressure,850.0,1542.0,1440.0,8.4,True
2026-08-24 10:00:00+02:00,surface,,104.0,2.0,16.4,True
2026-08-24 10:00:00+02:00,pressure,1000.0,182.0,80.0,14.9,True
2026-08-24 10:00:00+02:00,pressure,975.0,396.0,294.0,14.0,True
2026-08-24 10:00:00+02:00,pressure,950.0,615.0,513.0,13.6,True
2026-08-24 10:00:00+02:00,pressure,925.0,839.19,737.19,12.4,True
2026-08-24 10:00:00+02:00,pressure,900.0,1068.41,966.4100000000001,11.3,True
2026-08-24 10:00:00+02:00,pressure,850.0,1543.0,1441.0,8.9,True
2026-08-24 11:00:00+02:00,surface,,104.0,2.0,20.3,True
2026-08-24 11:00:00+02:00,pressure,1000.0,179.0,77.0,18.4,True
2026-08-24 11:00:00+02:00,pressure,975.0,395.0,293.0,16.3,True
2026-08-24 11:00:00+02:00,pressure,950.0,615.0,513.0,14.6,True
2026-08-24 11:00:00+02:00,pressure,925.0,839.66,737.66,13.2,True
2026-08-24 11:00:00+02:00,pressure,900.0,1069.37,967.3699999999999,11.8,True
2026-08-24 11:00:00+02:00,pressure,850.0,1545.0,1443.0,8.9,True
2026-08-24 12:00:00+02:00,surface,,104.0,2.0,22.8,True
2026-08-24 12:00:00+02:00,pressure,1000.0,168.0,66.0,20.7,True
2026-08-24 12:00:00+02:00,pressure,975.0,386.0,284.0,18.4,True
2026-08-24 12:00:00+02:00,pressure,950.0,607.0,505.0,16.1,True
2026-08-24 12:00:00+02:00,pressure,925.0,832.12,730.12,14.5,True
2026-08-24 12:00:00+02:00,pressure,900.0,1062.32,960.3199999999999,12.9,True
2026-08-24 12:00:00+02:00,pressure,850.0,1539.0,1437.0,9.7,True
2026-08-24 13:00:00+02:00,surface,,104.0,2.0,23.6,True
2026-08-24 13:00:00+02:00,pressure,1000.0,162.0,60.0,21.8,True
2026-08-24 13:00:00+02:00,pressure,975.0,381.0,279.0,19.5,True
2026-08-24 13:00:00+02:00,pressure,950.0,603.0,501.0,17.2,True
2026-08-24 13:00:00+02:00,pressure,925.0,828.83,726.83,15.3,True
2026-08-24 13:00:00+02:00,pressure,900.0,1059.76,957.76,13.4,True
2026-08-24 13:00:00+02:00,pressure,850.0,1538.0,1436.0,9.5,True
2026-08-24 14:00:00+02:00,surface,,104.0,2.0,23.7,True
2026-08-24 14:00:00+02:00,pressure,1000.0,156.0,54.0,22.2,True
2026-08-24 14:00:00+02:00,pressure,975.0,375.0,273.0,19.9,True
