time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_missing_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_130m_C,kit_temperature_160m_C,kit_temperature_200m_C,kit_temperature_100m_C
2026-09-08 00:00:00+02:00,5.0,22.000721366024045,8.320957229056042,2.0,160.0,158.0,8.320957229056042,p1718846,7,100,19.032405586338044,19.61504831488416,24.015192588088965,25.8589170355301,27.233265274637223,27.353362815394085,27.083673872417453,
2026-09-08 00:40:00+02:00,5.0,22.784737444597845,7.842260910289724,2.0,200.0,198.0,7.842260910289724,p1722541,7,100,18.39019691535573,19.230336701113345,23.787284190032917,24.49394406467438,25.46337520917577,26.10259292994435,26.23245782564545,
2026-09-08 00:50:00+02:00,5.0,19.241582830162045,7.725023338184368,2.0,200.0,198.0,7.725023338184368,p1715151,7,100,18.370714685333283,19.62588756969449,23.4742041357269,24.039412535247795,25.547978376072805,26.054325472145067,26.09573802351765,
2026-09-08 01:00:00+02:00,5.0,18.883034939969203,7.869144514123207,2.0,160.0,158.0,7.869144514123207,p1718829,7,100,18.200533980533635,19.33861826250965,23.11522525050349,23.73484820676424,25.471375936757248,26.06967849465684,25.94575424755861,
2026-09-08 01:40:00+02:00,5.0,19.70264617737083,7.478019685180609,2.0,200.0,198.0,7.478019685180609,p1722524,7,100,17.86468696662907,19.440898660818736,22.023037236740056,22.46103559623718,24.03390060081689,25.166936003044103,25.34270665180968,
2026-09-08 01:50:00+02:00,5.0,19.0400903628821,7.428959252288831,2.0,200.0,198.0,7.428959252288831,p1715134,7,100,17.87837264131929,19.40157987034986,21.92119916174313,22.42690356473291,24.02329292369304,25.18687179000601,25.30733189360812,
2026-09-08 02:00:00+02:00,5.0,22.22733926553646,7.160955615039789,2.0,200.0,198.0,7.160955615039789,p1718812,7,100,17.920706692989402,19.69889383423232,21.91830337561031,22.494524029685955,24.013377108156533,24.349018127293903,25.08166230802919,
2026-09-08 02:40:00+02:00,5.0,23.216319649791515,6.322127992599494,2.0,200.0,198.0,6.322127992599494,p1722507,7,100,18.38881773731615,20.24612330929947,22.37437090681457,23.1234872620087,24.356234557127618,24.548732120353687,24.710945729915643,
2026-09-08 02:50:00+02:00,5.0,25.618108536019868,6.458155224185873,2.0,160.0,158.0,6.458155224185873,p1748548,7,100,18.275516653110547,20.324965335992136,22.388675025299055,23.023954050038654,24.38228839144338,24.73367187729642,24.602596370006587,
2026-09-08 03:00:00+02:00,5.0,24.239147811841377,6.477421777333529,2.0,160.0,158.0,6.477421777333529,p1718794,7,100,18.221811966262845,20.160943791210155,22.36989377447507,22.84075786090594,24.255719407302628,24.699233743596373,24.453246007720967,
2026-09-08 03:40:00+02:00,5.0,17.521177276387867,5.51179134492055,2.0,130.0,128.0,5.51179134492055,p1722490,7,100,17.98067978848268,19.382373970593708,21.462317223052946,22.210628088729862,23.492471133403228,23.470330033548983,23.37118910927584,
2026-09-08 03:50:00+02:00,5.0,15.236291198841112,5.416090271160204,2.0,130.0,128.0,5.416090271160204,p1748531,7,100,17.898133733871482,19.11703702977877,21.339970356948832,22.24744624936427,23.314224005031686,23.276489772842385,22.93746316513826,
2026-09-08 04:40:00+02:00,5.0,15.839143169835152,5.963421507824911,2.0,130.0,128.0,5.963421507824911,p1722472,7,100,17.00587082049945,18.118235050267543,21.286063684234573,22.14858989514922,22.96929232832436,22.818255755391416,22.434011552341484,
2026-09-08 04:50:00+02:00,5.0,17.199881361013958,5.956416642660386,2.0,130.0,128.0,5.956416642660386,p1748514,7,100,16.815306967826874,17.70945364404167,21.14942991624446,21.787140960255936,22.77172361048726,22.689083000793445,22.29607574106216,
2026-09-08 05:50:00+02:00,5.0,17.6308305580773,5.84678962720232,2.0,160.0,158.0,5.84678962720232,p1748497,8,,16.213555493530297,16.896067679293324,20.422233790908784,21.415848755218526,22.04653649700159,22.060345120732617,21.850976096557638,21.917257885702426
2026-09-08 06:50:00+02:00,5.0,18.646881564000388,6.766162579378147,2.0,130.0,128.0,6.766162579378147,p1748479,8,,15.583387629989659,15.927397478917413,19.65677379171749,20.83369413927968,22.349550209367806,22.21951641306812,21.836483498897564,22.146750210903942
