time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_100m_C,kit_temperature_130m_C,kit_temperature_160m_C,kit_temperature_200m_C
2026-08-25 07:30:00+02:00,3.388151182840052,2.9168742614936605,1.8321022173638823,2.0,130.0,128.0,1.8321022173638823,p808624,8,14.232439134269727,14.40538140256879,14.98875625486752,15.09204146999107,15.695559967384686,16.06454135163361,15.990889710456845,15.65974770973204
2026-08-25 08:20:00+02:00,2.706529148478276,1.8863270833802128,1.4279974726892863,2.0,160.0,158.0,1.4279974726892863,p837842,8,14.541689998054531,14.692596164724948,14.756689770584098,14.863836086095237,15.488495565239846,15.901613924457465,15.969687470743818,15.737922761230468
2026-08-25 08:30:00+02:00,2.520161900879404,1.9129802777600124,1.1324546846630987,2.0,160.0,158.0,1.1324546846630987,p808607,8,14.608427119785338,14.76146554200614,14.80057383477781,14.873384919685384,15.251602375260308,15.589682520501704,15.740881804448437,15.59818778975298
2026-08-25 09:20:00+02:00,1.62419367385379,1.6924304071609757,0.5208322664840992,100.0,160.0,60.0,0.5208322664840992,p919322,8,16.01590730352785,15.86936980901082,15.465328199523908,15.131879794301424,14.778493962888552,14.79159710722436,15.299326229372651,14.930407225124371
2026-08-25 09:30:00+02:00,1.5132659640533292,1.5011082698670937,0.4692339841597377,100.0,160.0,60.0,0.4692339841597377,p929150,8,15.977273647468603,15.856841620362587,15.474956361724796,15.161252977032978,14.811687641956702,14.830589145156312,15.28092162611644,14.996632745643636
2026-08-25 09:40:00+02:00,1.32759449341918,1.0081636040917747,0.4864935776737056,100.0,160.0,60.0,0.4864935776737056,p943337,8,16.03291677375798,15.876461807270028,15.482437055450417,15.193730420166036,14.924097480019764,15.108141976465935,15.41059105769347,15.039943083683
2026-08-25 10:00:00+02:00,1.2906676367776655,1.651112727962776,0.4953338183888327,130.0,160.0,30.0,0.4953338183888327,p955118,8,16.09248048297504,16.073618835662828,15.601780850204396,15.250811186925327,14.847377969337677,14.800454514997918,15.295788333386753,15.005639265842447
2026-08-25 10:20:00+02:00,0.722405009484578,0.7040083491409632,0.2112025047422889,130.0,160.0,30.0,0.2112025047422889,p919305,8,16.25114280220035,16.162571901791875,15.765829846160836,15.441671776496904,15.192565503029533,15.043680140236544,15.254882644978832,14.99871645505524
2026-08-25 10:30:00+02:00,0.2095635175901649,0.2858018770371284,0.0228641501629702,2.0,10.0,8.0,0.0228641501629702,p929133,8,16.18956180974582,16.21242595990879,15.763028767654395,15.54651928728994,15.234145331247166,14.990430987025418,14.886971501675914,14.652231593826292
2026-08-25 10:40:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p943320,8,16.315623428878812,16.111571613251993,15.73768374581908,15.527724485939034,15.168802238842783,14.873821118000285,14.730002454472856,14.35227597029496
2026-08-25 11:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p955101,8,15.931404765621222,15.848389855087268,15.479626992950404,15.35072325889079,14.976371663935549,14.657673955615762,14.456536816708892,14.004937167301186
2026-08-25 11:20:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p919288,8,15.896288059326176,15.68961326608528,15.254469493713328,15.131867967178366,14.801732837062133,14.408129128119496,14.31760539728035,14.024981105403915
2026-08-25 11:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p929116,8,15.93447604527285,15.593796355573009,15.24029657420347,15.127756996442209,14.791545114254909,14.42481355683125,14.309750186909996,13.925313617492684
2026-08-25 11:40:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p943303,8,16.012441576080334,15.61784535028328,15.224474520172082,15.053188782826773,14.715791911960816,14.389732267862565,14.312390305343612,13.993976515918742
