time,level_type,pressure_hPa,height_msl_m,height_agl_m,temperature_C,usable_for_inversion
2026-09-14 00:00:00+02:00,surface,,104.0,2.0,17.4,True
2026-09-14 00:00:00+02:00,pressure,1000.0,197.0,95.0,17.7,True
2026-09-14 00:00:00+02:00,pressure,975.0,414.0,312.0,16.7,True
2026-09-14 00:00:00+02:00,pressure,950.0,635.0,533.0,15.1,True
2026-09-14 00:00:00+02:00,pressure,925.0,860.59,758.59,13.9,True
2026-09-14 00:00:00+02:00,pressure,900.0,1091.27,989.27,12.7,True
2026-09-14 00:00:00+02:00,pressure,850.0,1569.0,1467.0,10.3,True
2026-09-14 01:00:00+02:00,surface,,104.0,2.0,17.2,True
2026-09-14 01:00:00+02:00,pressure,1000.0,199.0,97.0,17.5,True
2026-09-14 01:00:00+02:00,pressure,975.0,416.0,314.0,16.4,True
2026-09-14 01:00:00+02:00,pressure,950.0,637.0,535.0,14.8,True
2026-09-14 01:00:00+02:00,pressure,925.0,862.35,760.35,13.7,True
2026-09-14 01:00:00+02:00,pressure,900.0,1092.79,990.79,12.5,True
2026-09-14 01:00:00+02:00,pressure,850.0,1570.0,1468.0,10.1,True
2026-09-14 02:00:00+02:00,surface,,104.0,2.0,16.4,True
2026-09-14 02:00:00+02:00,pressure,1000.0,204.0,102.0,16.7,True
2026-09-14 02:00:00+02:00,pressure,975.0,420.0,318.0,16.0,True
2026-09-14 02:00:00+02:00,pressure,950.0,641.0,539.0,14.5,True
2026-09-14 02:00:00+02:00,pressure,925.0,866.12,764.12,13.3,True
2026-09-14 02:00:00+02:00,pressure,900.0,1096.31,994.31,12.1,True
2026-09-14 02:00:00+02:00,pressure,850.0,1573.0,1471.0,9.7,True
2026-09-14 03:00:00+02:00,surface,,104.0,2.0,16.0,True
2026-09-14 03:00:00+02:00,pressure,1000.0,201.0,99.0,16.6,True
2026-09-14 03:00:00+02:00,pressure,975.0,417.0,315.0,15.6,True
2026-09-14 03:00:00+02:00,pressure,950.0,637.0,535.0,14.4,True
2026-09-14 03:00:00+02:00,pressure,925.0,862.35,760.35,13.3,True
2026-09-14 03:00:00+02:00,pressure,900.0,1092.79,990.79,12.1,True
2026-09-14 03:00:00+02:00,pressure,850.0,1570.0,1468.0,9.8,True
2026-09-14 04:00:00+02:00,surface,,104.0,2.0,16.3,True
2026-09-14 04:00:00+02:00,pressure,1000.0,205.0,103.0,16.6,True
2026-09-14 04:00:00+02:00,pressure,975.0,421.0,319.0,15.5,True
2026-09-14 04:00:00+02:00,pressure,950.0,641.0,539.0,14.3,True
2026-09-14 04:00:00+02:00,pressure,925.0,866.59,764.59,13.2,True
2026-09-14 04:00:00+02:00,pressure,900.0,1097.27,995.27,12.2,True
2026-09-14 04:00:00+02:00,pressure,850.0,1575.0,1473.0,10.0,True
2026-09-14 05:00:00+02:00,surface,,104.0,2.0,16.8,True
2026-09-14 05:00:00+02:00,pressure,1000.0,200.0,98.0,16.6,True
2026-09-14 05:00:00+02:00,pressure,975.0,416.0,314.0,16.1,True
2026-09-14 05:00:00+02:00,pressure,950.0,637.0,535.0,15.3,True
2026-09-14 05:00:00+02:00,pressure,925.0,862.59,760.59,13.9,True
2026-09-14 05:00:00+02:00,pressure,900.0,1093.27,991.27,12.5,True
2026-09-14 05:00:00+02:00,pressure,850.0,1571.0,1469.0,9.8,True
2026-09-14 06:00:00+02:00,surface,,104.0,2.0,16.8,True
2026-09-14 06:00:00+02:00,pressure,1000.0,202.0,100.0,16.1,True
2026-09-14 06:00:00+02:00,pressure,975.0,417.0,315.0,15.6,True
2026-09-14 06:00:00+02:00,pressure,950.0,638.0,536.0,14.5,True
2026-09-14 06:00:00+02:00,pressure,925.0,863.59,761.59,13.4,True
2026-09-14 06:00:00+02:00,pressure,900.0,1094.27,992.27,12.2,True
2026-09-14 06:00:00+02:00,pressure,850.0,1572.0,1470.0,9.9,True
2026-09-14 07:00:00+02:00,surface,,104.0,2.0,16.6,True
2026-09-14 07:00:00+02:00,pressure,1000.0,205.0,103.0,15.9,True
2026-09-14 07:00:00+02:00,pressure,975.0,421.0,319.0,15.6,True
2026-09-14 07:00:00+02:00,pressure,950.0,641.0,539.0,14.3,True
2026-09-14 07:00:00+02:00,pressure,925.0,866.82,764.82,13.2,True
2026-09-14 07:00:00+02:00,pressure,900.0,1097.75,995.75,12.1,True
2026-09-14 07:00:00+02:00,pressure,850.0,1576.0,1474.0,9.9,True
2026-09-14 08:00:00+02:00,surface,,104.0,2.0,16.4,True
2026-09-14 08:00:00+02:00,pressure,1000.0,205.0,103.0,15.5,True
2026-09-14 08:00:00+02:00,pressure,975.0,421.0,319.0,15.2,True
2026-09-14 08:00:00+02:00,pressure,950.0,641.0,539.0,14.4,True
2026-09-14 08:00:00+02:00,pressure,925.0,866.59,764.59,13.2,True
2026-09-14 08:00:00+02:00,pressure,900.0,1097.27,995.27,12.0,True
2026-09-14 08:00:00+02:00,pressure,850.0,1575.0,1473.0,9.5,True
2026-09-14 09:00:00+02:00,surface,,104.0,2.0,17.2,True
2026-09-14 09:00:00+02:00,pressure,1000.0,208.0,106.0,15.9,True
2026-09-14 09:00:00+02:00,pressure,975.0,424.0,322.0,15.3,True
2026-09-14 09:00:00+02:00,pressure,950.0,644.0,542.0,14.1,True
2026-09-14 09:00:00+02:00,pressure,925.0,869.82,767.82,13.0,True
2026-09-14 09:00:00+02:00,pressure,900.0,1100.74,998.74,11.9,True
2026-09-14 09:00:00+02:00,pressure,850.0,1579.0,1477.0,9.7,True
2026-09-14 10:00:00+02:00,surface,,104.0,2.0,18.4,True
2026-09-14 10:00:00+02:00,pressure,1000.0,212.0,110.0,16.7,True
2026-09-14 10:00:00+02:00,pressure,975.0,427.0,325.0,15.0,True
2026-09-14 10:00:00+02:00,pressure,950.0,647.0,545.0,13.7,True
2026-09-14 10:00:00+02:00,pressure,925.0,872.82,770.82,12.7,True
2026-09-14 10:00:00+02:00,pressure,900.0,1103.74,1001.74,11.8,True
2026-09-14 10:00:00+02:00,pressure,850.0,1582.0,1480.0,9.9,True
