time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa,max_inv_gradient_K_per_100m,inversion_depth_m,positive_deltaT_K,lowest_profile_height_agl_m,inversion_index,dwd_temperature_obs,surface_temp_bias_K,inversion_index_corrected,surface_correction_used
2026-08-01 00:00:00+02:00,25.5,1002.7,3.11,174,100,25.5,125.0,4.02,174,23.5,347.0,6.28,193,23.4,574.0,5.0,242,21.6,805.65,4.82,240,19.8,1042.68,4.65,237,16.2,1534.0,4.33,232,0.0,0.0,0.0,25.0,0.0,,,0.0,False
2026-08-01 01:00:00+02:00,23.9,1003.1,2.21,175,75,23.9,128.0,2.92,174,23.0,349.0,4.34,220,23.1,576.0,5.29,265,21.4,807.42,5.32,257,19.6,1044.2,5.45,249,16.2,1535.0,6.0,235,0.044052863436123975,227.0,0.10000000000000142,28.0,0.4587635829662278,,,0.4587635829662278,False
2026-08-01 02:00:00+02:00,23.2,1002.4,2.0,177,98,23.1,122.0,2.5,178,23.7,343.0,3.77,238,22.4,570.0,3.23,270,20.6,800.72,4.12,258,18.9,1036.77,5.13,251,15.4,1526.0,7.3,242,0.2714932126696823,221.0,0.5999999999999979,22.0,1.0542375565610835,,,1.0542375565610835,False
2026-08-01 03:00:00+02:00,22.9,1003.4,1.7,180,100,22.8,131.0,2.3,180,23.2,352.0,4.59,264,21.5,578.0,6.78,267,19.8,808.26,6.84,258,18.1,1043.82,7.07,249,14.6,1532.0,7.98,234,0.18099547511312153,221.0,0.3999999999999986,31.0,0.8133250377073888,,,0.8133250377073888,False
2026-08-01 04:00:00+02:00,22.1,1003.6,2.21,162,60,22.1,132.0,3.35,163,21.9,353.0,3.67,227,20.5,578.0,6.42,261,18.9,807.56,6.7,252,17.2,1042.39,7.13,244,14.0,1529.0,8.36,231,0.0,0.0,0.0,32.0,0.0,,,0.0,False
2026-08-01 05:00:00+02:00,21.9,1003.2,2.2,177,100,21.9,129.0,3.0,178,21.0,349.0,4.64,209,19.8,574.0,4.3,269,18.2,803.09,4.41,266,16.6,1037.44,4.53,263,13.4,1523.0,4.79,258,0.0,0.0,0.0,29.0,0.0,,,0.0,False
2026-08-01 06:00:00+02:00,21.7,1003.1,1.61,173,100,21.6,128.0,2.2,177,20.4,348.0,3.69,232,19.0,572.0,4.3,270,17.7,801.09,4.68,270,16.5,1035.44,5.06,270,14.0,1521.0,5.82,270,0.0,0.0,0.0,28.0,0.0,,,0.0,False
2026-08-01 07:00:00+02:00,21.8,1003.4,0.73,196,100,21.5,131.0,0.95,198,20.2,350.0,2.22,281,18.2,574.0,3.13,311,17.1,802.86,3.38,293,15.9,1036.96,3.89,279,13.6,1522.0,5.37,262,0.0,0.0,0.0,31.0,0.0,,,0.0,False
2026-08-01 08:00:00+02:00,22.3,1003.2,1.42,321,91,21.8,129.0,1.78,322,20.0,348.0,3.39,337,18.5,572.0,3.78,345,17.2,800.86,3.16,321,16.0,1034.96,3.27,293,13.5,1520.0,5.19,257,0.0,0.0,0.0,29.0,0.0,,,0.0,False
2026-08-01 09:00:00+02:00,23.2,1003.4,2.02,9,93,22.5,131.0,2.63,9,20.3,351.0,3.6,12,18.2,575.0,4.77,14,17.0,803.39,3.32,351,15.7,1037.01,2.97,311,13.2,1521.0,5.75,262,0.0,0.0,0.0,31.0,0.0,,,0.0,False
2026-08-01 10:00:00+02:00,23.7,1004.3,3.35,343,100,22.8,138.0,4.68,344,20.5,358.0,5.48,345,18.2,582.0,5.56,345,16.8,809.93,4.64,333,15.4,1043.05,4.05,315,12.6,1526.0,4.32,275,0.0,0.0,0.0,38.0,0.0,,,0.0,False
2026-08-01 11:00:00+02:00,22.0,1005.2,4.22,346,99,20.9,146.0,6.4,346,18.6,365.0,7.36,346,16.9,588.0,6.63,352,15.7,815.69,5.29,339,14.6,1048.57,4.34,320,12.3,1531.0,4.56,272,0.0,0.0,0.0,46.0,0.0,,,0.0,False
2026-08-01 12:00:00+02:00,20.7,1005.1,4.01,356,85,19.4,146.0,6.02,355,17.3,363.0,7.36,1,17.0,585.0,5.2,353,15.9,812.93,4.57,332,14.8,1046.05,4.68,308,12.6,1529.0,6.74,275,0.0,0.0,0.0,46.0,0.0,,,0.0,False
2026-08-01 13:00:00+02:00,22.1,1005.1,3.14,351,93,20.7,145.0,4.14,352,18.4,364.0,4.67,356,17.5,587.0,5.84,13,16.3,814.69,5.96,3,15.0,1047.57,6.25,353,12.6,1530.0,7.26,337,0.0,0.0,0.0,45.0,0.0,,,0.0,False
2026-08-01 14:00:00+02:00,23.7,1005.2,3.32,339,57,21.6,146.0,4.37,340,19.3,365.0,4.92,342,17.4,588.0,4.52,18,16.2,816.16,4.33,1,15.1,1049.53,4.53,345,12.8,1533.0,5.84,319,0.0,0.0,0.0,46.0,0.0,,,0.0,False
2026-08-01 15:00:00+02:00,25.3,1005.4,3.13,353,47,23.3,148.0,4.03,353,20.9,368.0,4.49,353,18.8,592.0,4.62,359,17.4,820.39,4.2,344,16.1,1054.0,4.1,327,13.4,1538.0,4.87,298,0.0,0.0,0.0,48.0,0.0,,,0.0,False
2026-08-01 16:00:00+02:00,26.5,1005.1,3.51,357,0,24.6,145.0,4.71,356,22.1,366.0,5.29,357,19.8,591.0,5.49,357,18.2,819.39,5.21,348,16.5,1053.0,5.06,338,13.2,1537.0,5.2,319,0.0,0.0,0.0,45.0,0.0,,,0.0,False
2026-08-01 17:00:00+02:00,27.6,1004.7,2.43,9,0,26.0,142.0,3.14,9,23.6,363.0,3.68,10,21.3,589.0,3.94,11,19.2,818.09,4.08,350,17.2,1052.43,4.71,332,13.0,1538.0,6.82,310,0.0,0.0,0.0,42.0,0.0,,,0.0,False
2026-08-01 18:00:00+02:00,27.9,1004.4,2.42,7,0,26.6,139.0,3.13,7,24.2,361.0,3.68,10,21.8,587.0,3.82,10,19.6,816.32,4.07,356,17.4,1050.91,4.51,345,13.0,1537.0,5.8,328,0.0,0.0,0.0,39.0,0.0,,,0.0,False
2026-08-01 19:00:00+02:00,27.4,1004.2,2.8,2,5,26.6,137.0,3.7,2,24.2,359.0,4.36,4,22.0,586.0,4.55,7,19.8,815.32,4.65,359,17.6,1049.91,4.84,352,13.2,1536.0,5.41,339,0.0,0.0,0.0,37.0,0.0,,,0.0,False
2026-08-01 20:00:00+02:00,27.1,1004.5,1.97,24,100,26.6,140.0,2.91,27,24.4,362.0,3.82,33,22.2,589.0,4.0,36,20.1,818.56,3.78,22,18.0,1053.38,3.8,7,13.8,1540.0,4.52,342,0.0,0.0,0.0,40.0,0.0,,,0.0,False
2026-08-01 21:00:00+02:00,25.3,1004.8,1.61,60,7,25.7,143.0,3.09,61,23.9,365.0,5.38,62,21.8,591.0,5.15,61,19.8,820.32,4.22,44,17.7,1054.91,3.83,21,13.6,1541.0,5.01,339,0.9756097560975575,41.0,0.3999999999999986,43.0,2.000117886178855,,,2.000117886178855,False
2026-08-01 22:00:00+02:00,23.4,1005.1,0.82,14,6,24.4,146.0,1.49,48,23.7,368.0,4.37,68,21.8,594.0,5.78,66,19.8,823.56,4.78,56,17.7,1058.38,4.01,41,13.6,1545.0,3.67,360,2.272727272727273,44.0,1.0,46.0,3.191,,,3.191,False
2026-08-01 23:00:00+02:00,21.0,1005.2,1.2,42,100,22.8,147.0,2.95,66,23.4,368.0,6.96,94,21.6,593.0,6.13,91,19.6,822.32,5.04,81,17.5,1056.91,4.17,67,13.4,1543.0,3.74,24,4.000000000000002,266.0,2.3999999999999986,47.0,4.0489999999999995,,,4.0489999999999995,False
