time,level_type,pressure_hPa,height_msl_m,height_agl_m,temperature_C,usable_for_inversion
2026-09-24 00:00:00+02:00,surface,,104.0,2.0,13.8,True
2026-09-24 00:00:00+02:00,pressure,1000.0,190.0,88.0,17.2,True
2026-09-24 00:00:00+02:00,pressure,975.0,406.0,304.0,18.5,True
2026-09-24 00:00:00+02:00,pressure,950.0,628.0,526.0,17.3,True
2026-09-24 00:00:00+02:00,pressure,925.0,854.29,752.29,15.3,True
2026-09-24 00:00:00+02:00,pressure,900.0,1085.7,983.7,13.4,True
2026-09-24 00:00:00+02:00,pressure,850.0,1565.0,1463.0,9.4,True
2026-09-24 01:00:00+02:00,surface,,104.0,2.0,13.8,True
2026-09-24 01:00:00+02:00,pressure,1000.0,186.0,84.0,16.0,True
2026-09-24 01:00:00+02:00,pressure,975.0,402.0,300.0,18.7,True
2026-09-24 01:00:00+02:00,pressure,950.0,624.0,522.0,17.6,True
2026-09-24 01:00:00+02:00,pressure,925.0,850.52,748.52,15.6,True
2026-09-24 01:00:00+02:00,pressure,900.0,1082.18,980.1800000000001,13.5,True
2026-09-24 01:00:00+02:00,pressure,850.0,1562.0,1460.0,9.4,True
2026-09-24 02:00:00+02:00,surface,,104.0,2.0,13.6,True
2026-09-24 02:00:00+02:00,pressure,1000.0,183.0,81.0,15.5,True
2026-09-24 02:00:00+02:00,pressure,975.0,399.0,297.0,17.4,True
2026-09-24 02:00:00+02:00,pressure,950.0,620.0,518.0,16.5,True
2026-09-24 02:00:00+02:00,pressure,925.0,846.05,744.05,14.7,True
2026-09-24 02:00:00+02:00,pressure,900.0,1077.23,975.23,12.9,True
2026-09-24 02:00:00+02:00,pressure,850.0,1556.0,1454.0,9.2,True
2026-09-24 03:00:00+02:00,surface,,104.0,2.0,12.8,True
2026-09-24 03:00:00+02:00,pressure,1000.0,186.0,84.0,15.5,True
2026-09-24 03:00:00+02:00,pressure,975.0,401.0,299.0,16.7,True
2026-09-24 03:00:00+02:00,pressure,950.0,623.0,521.0,16.2,True
2026-09-24 03:00:00+02:00,pressure,925.0,848.59,746.59,14.5,True
2026-09-24 03:00:00+02:00,pressure,900.0,1079.27,977.27,12.7,True
2026-09-24 03:00:00+02:00,pressure,850.0,1557.0,1455.0,9.2,True
2026-09-24 04:00:00+02:00,surface,,104.0,2.0,12.3,True
2026-09-24 04:00:00+02:00,pressure,1000.0,185.0,83.0,15.3,True
2026-09-24 04:00:00+02:00,pressure,975.0,400.0,298.0,16.4,True
2026-09-24 04:00:00+02:00,pressure,950.0,621.0,519.0,15.5,True
2026-09-24 04:00:00+02:00,pressure,925.0,846.12,744.12,13.8,True
2026-09-24 04:00:00+02:00,pressure,900.0,1076.32,974.3199999999999,12.0,True
2026-09-24 04:00:00+02:00,pressure,850.0,1553.0,1451.0,8.6,True
2026-09-24 05:00:00+02:00,surface,,104.0,2.0,13.5,True
2026-09-24 05:00:00+02:00,pressure,1000.0,186.0,84.0,15.5,True
2026-09-24 05:00:00+02:00,pressure,975.0,401.0,299.0,16.2,True
2026-09-24 05:00:00+02:00,pressure,950.0,621.0,519.0,14.6,True
2026-09-24 05:00:00+02:00,pressure,925.0,845.66,743.66,13.0,True
2026-09-24 05:00:00+02:00,pressure,900.0,1075.37,973.3699999999999,11.3,True
2026-09-24 05:00:00+02:00,pressure,850.0,1551.0,1449.0,8.0,True
2026-09-24 06:00:00+02:00,surface,,104.0,2.0,13.3,True
