time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa
2026-09-08 00:00:00+02:00,25.5,1017.7,0.85,291,0,27.4,173.0,0.94,32,28.0,397.51,1.02,311,28.6,627.0,2.11,285,29.2,864.0,5.94,221,28.1,1107.0,6.93,203,24.1,1610.0,6.63,187
2026-09-08 01:00:00+02:00,24.4,1017.5,1.04,287,0,27.1,170.0,1.1,275,28.0,394.99,2.0,267,29.0,625.0,2.92,264,29.1,862.0,7.04,222,28.2,1105.0,7.44,207,24.3,1607.0,7.2,190
2026-09-08 02:00:00+02:00,23.8,1017.1,1.0,276,0,27.4,166.0,1.8,251,28.0,390.99,2.84,254,28.6,621.0,3.89,256,28.4,857.0,7.82,224,27.5,1100.0,8.54,209,24.1,1601.0,7.65,192
2026-09-08 03:00:00+02:00,23.2,1016.4,1.1,275,0,27.6,160.0,2.47,256,28.2,385.48,3.49,257,28.8,616.0,4.51,258,28.3,852.0,7.56,232,27.2,1094.0,8.84,215,23.9,1595.0,7.49,199
2026-09-08 04:00:00+02:00,22.8,1015.9,1.22,261,0,27.6,155.0,3.16,259,28.3,380.48,3.85,262,29.1,611.0,4.55,263,28.1,848.0,7.0,236,27.0,1089.0,8.93,219,23.7,1590.0,7.65,204
2026-09-08 05:00:00+02:00,22.2,1015.7,1.32,261,0,27.6,153.0,3.75,261,28.4,378.97,4.19,263,29.3,610.0,4.64,265,27.8,846.0,6.92,239,26.6,1087.0,9.55,222,23.4,1588.0,8.46,215
2026-09-08 06:00:00+02:00,22.0,1015.3,1.33,257,0,27.9,151.0,3.75,261,28.6,376.48,4.06,260,29.3,607.0,4.37,260,27.7,843.0,6.48,238,26.5,1085.0,9.21,224,23.4,1585.0,8.74,219
2026-09-08 07:00:00+02:00,21.8,1014.9,1.33,257,0,28.3,147.0,3.69,257,28.7,372.49,3.81,252,29.1,603.0,3.95,248,27.7,839.0,6.53,232,26.8,1081.0,9.04,225,23.4,1581.0,8.77,225
2026-09-08 08:00:00+02:00,21.3,1015.1,1.4,266,0,28.4,148.0,3.75,261,28.5,373.48,3.52,253,28.6,604.0,3.37,243,27.3,840.0,6.04,231,26.4,1081.0,8.15,228,23.8,1582.0,7.27,235
2026-09-08 09:00:00+02:00,22.8,1014.8,1.41,262,0,28.3,146.0,3.85,261,28.4,371.48,3.58,249,28.4,602.0,3.49,236,27.3,838.0,5.81,232,26.4,1079.0,7.56,233,23.7,1579.0,6.03,231
2026-09-08 10:00:00+02:00,26.7,1014.7,1.36,253,21,28.3,145.0,3.85,261,28.3,370.48,3.72,248,28.3,601.0,3.79,235,27.3,837.0,5.58,237,26.2,1078.0,6.88,240,23.5,1578.0,5.46,224
2026-09-08 11:00:00+02:00,30.9,1014.8,1.36,234,40,29.5,147.0,2.37,242,29.0,372.49,3.28,241,28.4,603.0,4.19,241,27.3,839.0,6.35,244,25.9,1080.0,7.16,238,23.4,1580.0,6.5,213
2026-09-08 12:00:00+02:00,33.9,1014.1,1.65,194,13,31.6,142.0,2.18,196,30.3,367.97,3.27,233,29.0,599.0,4.97,248,27.6,835.0,6.89,250,26.2,1077.0,6.71,236,23.5,1577.0,7.13,213
2026-09-08 13:00:00+02:00,35.7,1013.4,2.02,171,11,32.9,136.0,2.6,178,31.0,362.46,2.58,206,29.1,594.0,3.13,229,27.6,830.0,7.46,251,26.9,1072.0,7.92,240,24.0,1574.0,7.53,222
2026-09-08 14:00:00+02:00,35.5,1012.5,3.47,139,40,32.7,128.0,4.42,142,31.3,354.95,3.45,172,29.9,587.0,3.75,207,28.4,824.0,6.17,238,26.9,1066.0,7.71,247,24.7,1568.0,7.03,256
2026-09-08 15:00:00+02:00,34.0,1011.9,3.69,131,71,31.7,123.0,5.45,133,31.3,349.95,3.99,171,31.0,582.0,5.04,214,30.0,820.0,6.92,239,28.1,1064.0,7.65,253,24.7,1567.0,7.58,285
2026-09-08 16:00:00+02:00,33.9,1010.6,3.54,133,34,31.8,111.0,5.02,134,32.0,338.93,3.98,173,32.2,572.0,5.16,211,31.2,811.0,6.6,242,29.2,1055.0,7.3,256,25.1,1560.0,9.17,276
2026-09-08 17:00:00+02:00,34.3,1009.5,3.5,127,1,32.3,101.0,5.2,128,32.7,329.42,4.27,153,33.1,563.0,4.41,183,32.0,803.0,4.22,233,30.1,1048.0,5.81,250,25.3,1553.0,7.87,259
2026-09-08 18:00:00+02:00,33.4,1008.7,2.88,124,2,31.9,94.0,4.16,125,32.5,322.42,4.24,145,33.1,556.0,4.76,162,31.9,796.0,3.36,195,30.5,1041.0,4.29,237,25.9,1547.0,7.18,256
2026-09-08 19:00:00+02:00,32.2,1008.1,1.88,65,29,31.2,88.0,2.38,68,32.2,316.42,2.59,134,33.2,550.0,4.76,162,31.8,789.0,3.92,177,30.0,1034.0,3.82,200,26.2,1540.0,6.83,259
2026-09-08 20:00:00+02:00,31.1,1007.9,2.47,32,100,30.6,86.0,3.47,33,32.2,314.42,2.21,158,33.7,548.0,6.99,182,31.9,788.0,5.69,200,29.8,1033.0,5.88,210,25.6,1539.0,7.09,251
2026-09-08 21:00:00+02:00,29.7,1007.4,2.56,39,100,29.6,82.0,4.48,39,31.8,309.93,1.77,169,33.9,543.0,7.31,197,32.2,784.0,6.65,207,30.0,1029.0,5.35,226,25.6,1535.0,6.33,269
2026-09-08 22:00:00+02:00,28.7,1008.3,1.94,55,100,28.6,89.0,3.92,52,30.9,316.44,0.65,217,33.2,549.0,5.18,228,32.0,789.0,4.56,259,30.1,1034.0,6.29,282,25.6,1540.0,8.26,285
2026-09-08 23:00:00+02:00,27.6,1008.4,1.44,56,100,27.5,90.0,2.8,55,29.8,316.47,0.71,220,32.1,548.0,4.2,230,31.5,787.0,4.84,251,29.7,1032.0,7.56,268,25.2,1537.0,9.41,275
