time,icon_d2_index,icon_d2_max_positive_gradient_K_per_100m,icon_d2_inversion_deltaT_K,icon_d2_inversion_depth_m,icon_d2_inversion_base_m,icon_d2_inversion_top_m,icon_d2_level_count
2026-08-17 00:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 01:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 02:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 03:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 04:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 05:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 06:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 07:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 08:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 09:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 10:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 11:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 12:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 13:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 14:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 15:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 16:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 17:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 18:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 19:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 20:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 21:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 22:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-17 23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
