time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa,max_inv_gradient_K_per_100m,inversion_depth_m,positive_deltaT_K,lowest_profile_height_agl_m,inversion_index,dwd_temperature_obs,surface_temp_bias_K,inversion_index_corrected,surface_correction_used
2026-08-03 00:00:00+02:00,26.0,1001.2,2.7,51,56,26.4,111.0,3.0,53,25.1,333.0,10.45,83,25.6,561.0,13.65,100,23.8,794.75,11.01,111,22.1,1033.97,9.01,128,18.7,1530.0,8.77,175,0.21929824561403508,228.0,0.5,11.0,0.931546783625731,,,0.931546783625731,False
2026-08-03 01:00:00+02:00,25.3,1001.5,1.06,49,63,25.7,113.0,1.22,55,24.1,335.0,5.91,89,24.7,562.0,11.9,108,23.2,795.52,9.96,121,21.8,1034.49,8.69,138,18.8,1530.0,9.24,178,0.26431718061673914,227.0,0.5999999999999979,13.0,1.0500814977973543,,,1.0500814977973543,False
2026-08-03 02:00:00+02:00,24.4,1001.0,2.14,11,38,24.7,109.0,2.14,11,24.0,331.0,3.08,70,23.8,558.0,8.71,116,22.4,791.05,7.92,131,21.1,1029.54,7.8,148,18.5,1524.0,9.5,178,0.0,0.0,0.0,9.0,0.0,,,0.0,False
2026-08-03 03:00:00+02:00,23.3,1001.0,1.73,10,0,23.5,110.0,1.73,10,23.8,331.0,2.46,118,23.5,558.0,8.54,126,22.4,791.28,7.51,141,21.3,1030.01,7.08,158,19.1,1525.0,8.27,191,0.13574660633484195,221.0,0.3000000000000007,10.0,0.6928687782805438,,,0.6928687782805438,False
2026-08-03 04:00:00+02:00,22.3,1000.6,1.65,14,0,22.4,107.0,1.65,14,23.8,328.0,1.76,118,23.3,555.0,6.84,134,22.4,788.29,5.52,151,21.4,1027.02,4.92,175,19.6,1522.0,6.48,219,0.6334841628959286,221.0,1.4000000000000021,7.0,2.01788763197587,,,2.01788763197587,False
2026-08-03 05:00:00+02:00,20.3,1000.8,1.14,345,0,20.2,108.0,1.24,346,23.6,328.0,1.64,108,22.7,555.0,5.4,137,21.9,788.29,4.45,163,21.2,1027.02,4.63,193,19.7,1522.0,7.62,228,1.5454545454545463,220.0,3.400000000000002,8.0,4.355000000000001,,,4.355000000000001,False
2026-08-03 06:00:00+02:00,19.3,1000.1,1.21,336,44,19.4,103.0,1.21,336,23.1,323.0,1.79,100,22.8,549.0,6.28,128,22.1,782.75,4.33,153,21.5,1021.97,3.96,195,20.2,1518.0,7.93,241,1.6818181818181832,220.0,3.700000000000003,3.0,4.467500000000001,,,4.467500000000001,False
2026-08-03 07:00:00+02:00,19.1,1000.5,0.71,278,0,19.0,106.0,0.71,278,22.4,326.0,0.96,139,22.0,551.0,5.51,141,21.5,784.29,3.83,162,21.1,1023.02,3.16,200,20.2,1518.0,5.81,254,1.5454545454545447,220.0,3.3999999999999986,6.0,4.355,,,4.355,False
2026-08-03 08:00:00+02:00,20.9,1000.8,0.64,309,0,20.5,108.0,0.64,309,22.6,328.0,0.79,157,22.1,553.0,5.17,135,21.6,786.29,3.32,150,21.1,1025.02,2.11,189,20.2,1520.0,4.33,263,0.9545454545454551,220.0,2.1000000000000014,8.0,2.8675000000000015,,,2.8675000000000015,False
2026-08-03 09:00:00+02:00,23.4,1001.4,0.72,304,69,22.8,113.0,0.72,304,22.4,333.0,0.7,117,22.4,559.0,5.48,137,21.7,792.29,3.9,150,21.1,1031.01,2.75,176,19.8,1526.0,3.74,246,0.0,0.0,0.0,13.0,0.0,,,0.0,False
