time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_100m_C,kit_temperature_130m_C,kit_temperature_160m_C,kit_temperature_200m_C
2026-08-27 00:40:00+02:00,5.0,14.829161980444566,3.755986260226269,2.0,130.0,128.0,3.755986260226269,p1882454,8,18.521360924461405,18.636201150145176,21.60203354623409,22.101124318021167,22.264757750399948,22.27734718468768,22.16690542601521,21.85865957892989
2026-08-27 01:40:00+02:00,5.0,13.851912032426055,4.058993886042263,2.0,160.0,158.0,4.058993886042263,p1882437,8,17.81788539405823,18.04729835753758,20.8176807640228,21.62402258661912,21.74715579947035,21.820025619837946,21.876879280100493,21.748313211006163
2026-08-27 02:40:00+02:00,5.0,6.591849017460394,3.852149864810926,2.0,200.0,198.0,3.852149864810926,p1882419,8,17.682302275188455,18.209650196585287,19.476693823043785,20.548314286445617,21.309199556103284,21.376902979531263,21.402545770103465,21.53445213999938
2026-08-27 12:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p2219725,8,28.15450265886308,28.118818808765408,27.15215030294798,26.19868976172644,25.754695254971388,25.214336526439407,25.03834965088145,24.575931098834964
2026-08-27 12:40:00+02:00,2.1413064938921305,4.546999618879699,0.3637599695103759,2.0,10.0,8.0,0.3637599695103759,p2269913,8,28.500121400222795,28.86388136973317,28.101562731384256,26.89623975455474,26.392168928072422,26.12941749529547,25.934430558530167,25.328888808670047
2026-08-27 13:00:00+02:00,2.4320790786031328,6.601482723808738,0.528118617904699,2.0,10.0,8.0,0.528118617904699,p2219708,8,28.79558221608352,29.323700833988216,28.206848601745563,27.36440952504476,26.89589719410165,26.642652230800984,26.41181025593821,25.885591844291685
2026-08-27 13:40:00+02:00,2.06986019983669,4.389397499639758,0.3511517999711806,2.0,10.0,8.0,0.3511517999711806,p2269896,8,30.80096948725135,31.15212128722253,30.090388908752413,29.160239555587783,28.677728530876028,28.20227963101353,27.96472438842012,27.327743729774483
2026-08-27 14:00:00+02:00,2.5462664442502896,8.742495829692931,0.6993996663754345,2.0,10.0,8.0,0.6993996663754345,p2219691,8,30.4333487832184,31.13274844959383,29.85913575357052,29.074426002334587,28.64321204565604,28.40402400267053,28.30156172673293,27.643487962009434
2026-08-27 14:40:00+02:00,0.1545194254005999,0.1643810854424998,0.0131504868353999,2.0,10.0,8.0,0.0131504868353999,p2269879,8,32.064044709354434,32.077195196189834,31.650005840621937,30.915870338539094,30.42725509197561,30.11850778873368,29.934884936650583,29.324139180946343
2026-08-27 15:00:00+02:00,2.3596224215002546,5.242920403129769,0.4194336322503815,2.0,10.0,8.0,0.4194336322503815,p2219674,8,32.469283056652124,32.888716688902505,31.925778277343746,31.029799544235253,30.64763674638596,30.21294294946507,30.120988346140543,29.44453866244889
2026-08-27 15:40:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p2269862,8,32.84914069697189,32.84047955733747,31.760022975997902,31.09688573034165,30.719495448623487,30.3816540932476,30.26500440421041,29.537764592784896
2026-08-27 16:00:00+02:00,1.7948465574733032,3.782749759132287,0.3026199807305829,2.0,10.0,8.0,0.3026199807305829,p2219656,8,32.71026513048943,33.012885111220015,32.367974163177415,31.50027553836827,31.0098665021476,30.623948655695227,30.47411985999294,29.76958167669681
2026-08-27 16:40:00+02:00,1.2389271864478404,2.55645702892906,0.2045165623143248,2.0,10.0,8.0,0.2045165623143248,p2269844,8,32.45303257236482,32.657549134679144,31.787307691040024,31.14489927572123,30.737494623248665,30.449791160975263,30.275304625091515,29.668715304222143
