time,temperature_obs
2026-08-27 02:00:00+02:00,20.9
2026-08-27 02:10:00+02:00,20.4
2026-08-27 02:20:00+02:00,19.4
2026-08-27 02:30:00+02:00,19.1
2026-08-27 02:40:00+02:00,18.6
2026-08-27 02:50:00+02:00,18.1
2026-08-27 03:00:00+02:00,18.3
2026-08-27 03:10:00+02:00,17.7
2026-08-27 03:20:00+02:00,17.7
2026-08-27 03:30:00+02:00,17.4
2026-08-27 03:40:00+02:00,17.7
2026-08-27 03:50:00+02:00,17.4
2026-08-27 04:00:00+02:00,17.2
2026-08-27 04:10:00+02:00,17.3
2026-08-27 04:20:00+02:00,17.4
2026-08-27 04:30:00+02:00,17.4
2026-08-27 04:40:00+02:00,17.2
2026-08-27 04:50:00+02:00,17.2
2026-08-27 05:00:00+02:00,16.9
2026-08-27 05:10:00+02:00,17.1
2026-08-27 05:20:00+02:00,17.1
2026-08-27 05:30:00+02:00,17.0
2026-08-27 05:40:00+02:00,17.4
2026-08-27 05:50:00+02:00,17.4
2026-08-27 06:00:00+02:00,17.2
2026-08-27 06:10:00+02:00,16.9
2026-08-27 06:20:00+02:00,17.2
2026-08-27 06:30:00+02:00,17.4
2026-08-27 06:40:00+02:00,17.3
2026-08-27 06:50:00+02:00,17.6
2026-08-27 07:00:00+02:00,17.7
2026-08-27 07:10:00+02:00,17.8
2026-08-27 07:20:00+02:00,18.0
2026-08-27 07:30:00+02:00,18.1
2026-08-27 07:40:00+02:00,18.3
2026-08-27 07:50:00+02:00,18.5
2026-08-27 08:00:00+02:00,18.9
2026-08-27 08:10:00+02:00,19.0
2026-08-27 08:20:00+02:00,19.1
2026-08-27 08:30:00+02:00,19.5
2026-08-27 08:40:00+02:00,19.9
2026-08-27 08:50:00+02:00,20.0
2026-08-27 09:00:00+02:00,20.3
2026-08-27 09:10:00+02:00,20.9
2026-08-27 09:20:00+02:00,21.7
2026-08-27 09:30:00+02:00,22.1
2026-08-27 09:40:00+02:00,22.1
2026-08-27 09:50:00+02:00,22.4
2026-08-27 10:00:00+02:00,22.8
2026-08-27 10:10:00+02:00,23.4
2026-08-27 10:20:00+02:00,23.4
2026-08-27 10:30:00+02:00,24.1
2026-08-27 10:40:00+02:00,24.3
2026-08-27 10:50:00+02:00,24.3
2026-08-27 11:00:00+02:00,25.2
2026-08-27 11:10:00+02:00,25.3
2026-08-27 11:20:00+02:00,25.7
2026-08-27 11:30:00+02:00,25.9
2026-08-27 11:40:00+02:00,26.3
2026-08-27 11:50:00+02:00,26.7
2026-08-27 12:00:00+02:00,26.8
2026-08-27 12:10:00+02:00,28.0
2026-08-27 12:20:00+02:00,28.2
2026-08-27 12:30:00+02:00,28.8
2026-08-27 12:40:00+02:00,29.4
2026-08-27 12:50:00+02:00,29.8
2026-08-27 13:00:00+02:00,29.3
2026-08-27 13:10:00+02:00,29.8
2026-08-27 13:20:00+02:00,30.0
2026-08-27 13:30:00+02:00,30.5
2026-08-27 13:40:00+02:00,30.0
2026-08-27 13:50:00+02:00,30.6
2026-08-27 14:00:00+02:00,31.5
2026-08-27 14:10:00+02:00,31.2
2026-08-27 14:20:00+02:00,31.7
2026-08-27 14:30:00+02:00,32.4
2026-08-27 14:40:00+02:00,32.3
2026-08-27 14:50:00+02:00,32.1
2026-08-27 15:00:00+02:00,32.7
2026-08-27 15:10:00+02:00,33.0
2026-08-27 15:20:00+02:00,32.8
2026-08-27 15:30:00+02:00,32.7
2026-08-27 15:40:00+02:00,32.8
2026-08-27 15:50:00+02:00,33.5
