time,temperature_2m,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,temperature_1000hPa,geopotential_height_1000hPa,wind_speed_1000hPa,wind_direction_1000hPa,temperature_975hPa,geopotential_height_975hPa,wind_speed_975hPa,wind_direction_975hPa,temperature_950hPa,geopotential_height_950hPa,wind_speed_950hPa,wind_direction_950hPa,temperature_925hPa,geopotential_height_925hPa,wind_speed_925hPa,wind_direction_925hPa,temperature_900hPa,geopotential_height_900hPa,wind_speed_900hPa,wind_direction_900hPa,temperature_850hPa,geopotential_height_850hPa,wind_speed_850hPa,wind_direction_850hPa
2026-09-22 00:00:00+02:00,11.1,1017.5,0.41,104,100,15.1,249.0,1.02,11,14.0,463.0,3.84,2,12.4,682.0,5.49,2,10.7,904.32,5.4,355,9.0,1131.58,5.41,347,5.7,1602.0,5.72,332
2026-09-22 01:00:00+02:00,10.7,1017.5,0.32,18,93,14.8,249.0,0.95,342,13.8,463.0,3.63,2,12.3,681.0,5.71,3,10.6,903.31,5.57,359,8.9,1130.58,5.47,354,5.6,1601.0,5.37,345
2026-09-22 02:00:00+02:00,9.7,1017.1,0.63,18,38,14.0,245.0,1.57,333,13.2,459.0,3.14,352,12.0,677.0,4.73,359,10.4,899.08,4.79,356,8.8,1126.1,4.86,354,5.7,1596.0,5.02,350
2026-09-22 03:00:00+02:00,8.9,1017.0,0.5,360,57,13.7,244.0,1.5,360,12.8,457.0,3.34,353,11.6,675.0,3.98,360,10.2,897.08,4.3,355,8.8,1124.1,4.66,350,6.0,1594.0,5.44,342
2026-09-22 04:00:00+02:00,9.0,1016.8,0.58,329,57,13.4,242.0,1.5,356,12.4,455.0,3.11,358,11.3,673.0,2.87,13,10.1,895.08,3.49,360,8.8,1122.1,4.24,351,6.3,1592.0,5.93,340
2026-09-22 05:00:00+02:00,8.7,1016.6,0.63,342,37,13.0,240.0,1.73,350,12.3,453.0,2.9,358,11.2,670.0,2.56,15,9.9,892.08,3.37,1,8.6,1119.1,4.3,353,5.9,1589.0,6.29,345
2026-09-22 06:00:00+02:00,8.4,1016.6,0.85,339,49,12.5,240.0,2.12,352,11.9,452.0,3.01,360,11.1,670.0,2.64,12,9.8,891.62,3.49,2,8.5,1118.15,4.4,357,5.8,1587.0,6.28,351
2026-09-22 07:00:00+02:00,8.3,1016.6,0.7,360,39,12.2,240.0,2.1,3,11.8,452.0,3.01,2,10.9,670.0,2.49,7,9.8,891.85,3.57,2,8.6,1118.63,4.66,359,6.3,1588.0,6.85,356
2026-09-22 08:00:00+02:00,8.9,1016.6,0.5,360,57,12.2,240.0,1.87,16,11.8,452.0,2.39,18,10.7,669.0,2.38,18,9.6,890.85,3.48,9,8.5,1117.63,4.62,4,6.3,1587.0,6.96,359
2026-09-22 09:00:00+02:00,11.5,1016.9,1.0,354,78,12.0,242.0,3.2,358,11.7,454.0,2.64,11,10.6,671.0,2.87,13,9.6,892.85,3.83,7,8.6,1119.63,4.82,3,6.6,1589.0,6.84,359
2026-09-22 10:00:00+02:00,14.1,1017.2,1.55,15,27,12.1,245.0,2.32,7,11.7,458.0,2.69,23,10.5,675.0,2.94,24,9.7,896.61,3.94,14,9.0,1123.15,5.0,8,7.5,1592.0,7.22,2
2026-09-22 11:00:00+02:00,16.8,1017.3,1.71,353,56,14.2,247.0,2.12,352,12.4,460.0,2.32,10,10.6,677.0,3.04,45,9.6,898.61,3.77,30,8.7,1125.15,4.67,21,6.8,1594.0,6.68,10
2026-09-22 12:00:00+02:00,18.1,1016.7,1.94,12,56,15.3,242.0,2.33,10,13.2,456.0,2.42,10,11.0,674.0,2.35,16,9.9,895.38,3.27,16,8.8,1121.67,4.2,16,6.6,1590.0,6.05,16
2026-09-22 13:00:00+02:00,18.7,1016.3,1.97,24,60,15.9,239.0,2.34,20,13.7,453.0,2.49,17,11.6,671.0,2.56,15,10.5,893.08,3.57,16,9.4,1120.11,4.58,16,7.2,1590.0,6.61,17
2026-09-22 14:00:00+02:00,19.5,1015.8,2.15,22,45,16.7,236.0,2.75,19,14.4,451.0,2.82,17,12.2,669.0,2.9,15,10.8,891.08,3.69,20,9.4,1118.11,4.51,24,6.6,1588.0,6.17,28
2026-09-22 15:00:00+02:00,20.1,1015.7,2.42,7,41,17.3,234.0,3.13,7,15.0,450.0,3.14,8,12.8,669.0,3.15,8,11.2,891.32,3.58,18,9.5,1118.58,4.1,25,6.2,1589.0,5.27,35
2026-09-22 16:00:00+02:00,20.1,1015.7,2.91,4,26,17.6,234.0,3.91,4,15.3,450.0,4.06,6,13.2,669.0,4.03,9,11.5,891.55,4.22,17,9.8,1119.06,4.47,24,6.5,1590.0,5.17,36
