time,icon_d2_index,icon_d2_max_positive_gradient_K_per_100m,icon_d2_inversion_deltaT_K,icon_d2_inversion_depth_m,icon_d2_inversion_base_m,icon_d2_inversion_top_m,icon_d2_level_count
2026-08-27 00:00:00+02:00,0.3847222222222188,0.06666666666666525,0.09999999999999787,150.0,2.0,152.0,7
2026-08-27 01:00:00+02:00,0.3840425055928377,0.06711409395973011,0.09999999999999787,149.0,2.0,151.0,7
2026-08-27 02:00:00+02:00,0.8693662131519252,0.272108843537414,0.3999999999999986,147.0,2.0,149.0,7
2026-08-27 03:00:00+02:00,0.9089102564102558,0.13986013986013937,0.3000000000000007,360.0,2.0,362.0,7
2026-08-27 04:00:00+02:00,1.3030123456790133,0.3703703703703707,0.8000000000000007,216.0,142.0,358.0,7
2026-08-27 05:00:00+02:00,1.5477654320987655,0.4629629629629629,1.0,216.0,140.0,356.0,7
2026-08-27 06:00:00+02:00,1.5477654320987655,0.4629629629629629,1.0,216.0,136.0,352.0,7
2026-08-27 07:00:00+02:00,1.7957558139534875,0.5581395348837206,1.1999999999999993,215.0,135.0,350.0,7
2026-08-27 08:00:00+02:00,1.0970093457943932,0.14018691588785082,0.5,435.0,130.0,565.0,7
2026-08-27 09:00:00+02:00,1.5383333333333336,0.45454545454545453,1.0,220.0,342.0,562.0,7
2026-08-27 10:00:00+02:00,2.1425000000000023,0.6818181818181827,1.5000000000000018,220.0,347.0,567.0,7
2026-08-27 11:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-27 12:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-27 13:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-27 14:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-27 15:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-27 16:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-27 17:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-27 18:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-27 19:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,7
2026-08-27 20:00:00+02:00,0.8870588235294136,0.3529411764705891,0.3000000000000007,85.0,2.0,87.0,7
2026-08-27 21:00:00+02:00,2.13442635658914,0.9302325581395315,0.7999999999999972,86.0,2.0,88.0,7
2026-08-27 22:00:00+02:00,2.61742635658915,0.9302325581395358,1.2000000000000028,308.0,2.0,310.0,7
2026-08-27 23:00:00+02:00,1.8764313725490191,0.5882352941176471,0.8999999999999986,307.0,2.0,309.0,7
